"전출지별","전입지별","항목","단위","2025 년","2024 년","2023 년","2022 년","2021 년","2020 년","2019 년","2018 년","2017 년","2016 년","2015 년","2014 년","2013 년","2012 년","2011 년","2010 년","2009 년","2008 년","2007 년","2006 년","2005 년","2004 년","2003 년","2002 년","2001 년","2000 년","1999 년","1998 년","1997 년","1996 년","1995 년","1994 년","1993 년","1992 년","1991 년","1990 년","1989 년","1988 년","1987 년","1986 년","1985 년","1984 년","1983 년","1982 년","1981 년","1980 년","1979 년","1978 년","1977 년","1976 년","1975 년","1974 년","1973 년","1972 년","1971 년","1970 년",
"전국","제주특별자치도","이동자수[명]","명","77588","81695","81508","86865","94979","98114","94966","104202","105027","106825","97580","92508","88851","79501","82708","77224","76575","80124","83294","88992","93041","102978","98415","95668","96251","85242","90598","93844","79365","78175","83338","75609","73507","77302","74509","74806","68255","70300","68494","64405","63619","68207","71649","58848","59222","59168","44965","45012","43287","36273","50939","29176","25845","19404","19064","14551",
"전국","제주특별자치도","순이동자수[명]","명","-4273","-3361","-1687","3148","3917","3378","2936","8853","14005","14632","14257","11112","7823","4876","2343","437","-1015","-2236","-2928","-1902","-805","-83","-1447","234","-326","-2358","181","2530","-594","-1093","-826","-2145","-1729","1705","2776","3128","-231","-1730","-2858","-3565","-3434","-4202","-1910","-3131","-1444","-1348","-4853","-9636","-8395","-7042","-9901","-5577","-2917","651","-3912","-3154",
"서울특별시","전국","이동자수[명]","명","1271697","1266072","1238213","1236867","1524430","1642977","1476081","1549937","1571423","1655859","1726687","1661425","1620640","1658928","1834806","1848038","1925452","2083352","2130928","2210458","2041756","1973439","2311691","2424472","2409733","2266346","2419111","1936944","2253203","2370792","2487230","2476583","2441965","2500698","2474117","2817484","2939473","3199831","2768999","2688836","2754023","2919812","3292353","2865994","2711478","2602912","2441242","3028911","2678007","2495620","2937093","1819660","1647268","1210559","1419016","1448985",
"서울특별시","전국","순이동자수[명]","명","26769","44692","31250","35340","106243","64850","49588","110230","98486","140257","137256","87831","100550","103647","113058","115023","52264","57994","52883","36551","51007","47204","68968","106421","113949","46939","81122","134013","178319","211237","321898","236497","182632","104884","36879","90992","-109644","-188556","-84399","5823","-30364","-132746","-141831","-131860","-148382","-164904","-148425","-278528","-215396","-260890","-459569","-230732","-184590","-138774","-252689","-293828",
"서울특별시","서울특별시","이동자수[명]","명","806601","792932","776804","770951","957064","1068113","950627","979576","1018807","1061915","1129529","1098023","1053008","1069300","1215122","1199708","1286855","1426213","1448604","1521108","1397713","1345348","1609693","1672647","1658076","1582429","1668474","1256643","1485450","1571154","1603840","1666106","1648211","1764955","1764051","1972421","2186860","2431698","2015454","1934992","2007557","2208384","2510626","2200559","2090599","1985766","1883742","2518286","2212213","2041724","2401970","1511726","1345508","985945","1158556","1232619",
"서울특별시","서울특별시","순이동자수[명]","명","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"서울특별시","부산광역시","이동자수[명]","명","12662","12170","11748","11532","13078","13209","12805","13093","14484","15062","17009","17320","16153","16135","18816","17418","17738","17353","17182","17079","15915","15559","16368","16732","16128","15968","17733","16839","17087","18460","17424","17411","18047","19344","20097","22005","22574","25188","26649","26235","27318","28498","31141","30035","30238","29202","28542","29856","27213","23732","27515","22220","16307","11768","11130","11568",
"서울특별시","부산광역시","순이동자수[명]","명","-5493","-5795","-6684","-7885","-6931","-7781","-7480","-6644","-4976","-4174","-2432","-3296","-3468","-5302","-4200","-5698","-6721","-7896","-9769","-9752","-9026","-8707","-10201","-11317","-12238","-12596","-9367","-6381","-7785","-6261","-8101","-9441","-11331","-10275","-8923","-12973","-14412","-12180","-8679","-9675","-14146","-18924","-23559","-20260","-19701","-14995","-11131","-18286","-15472","-19684","-32399","-8064","-7944","-6492","-19014","-12695",
"서울특별시","대구광역시","이동자수[명]","명","8815","8692","8289","7716","8350","8792","7897","8446","8891","9623","10191","10062","10631","10135","10397","10277","10464","9720","10275","9792","9447","9121","10094","9077","9363","9986","11031","10383","10648","11418","11352","11106","11573","11397","11641","12219","13666","13470","14515","14210","13861","14033","16744","14702","14813","","","","","","","","","","","",
"서울특별시","대구광역시","순이동자수[명]","명","-4711","-4441","-5098","-6304","-5786","-6424","-6618","-5303","-4120","-3179","-2847","-3673","-3042","-3703","-2913","-3638","-5005","-5104","-5574","-6110","-5939","-5972","-5869","-7704","-7478","-6984","-5291","-3505","-3762","-3038","-2785","-3087","-3869","-5054","-5997","-7302","-7535","-8610","-5615","-7514","-11875","-14864","-15461","-9023","-4947","","","","","","","","","","","",
"서울특별시","인천광역시","이동자수[명]","명","46570","44861","45942","43887","44859","39875","38571","41233","40485","43745","44915","43212","47424","49640","51641","46082","45392","50493","51301","47467","46312","41567","44987","55500","52865","52829","54143","53946","60814","58631","62695","64485","67712","72097","80615","103533","73338","68068","58728","58591","67890","66715","57958","45878","54879","","","","","","","","","","","",
"서울특별시","인천광역시","순이동자수[명]","명","12472","11870","13707","11500","10513","1466","3811","8818","7957","11259","11345","8832","14407","17424","18633","10412","6534","10014","9716","5133","6340","2508","1842","10329","6652","6859","5551","15542","19929","15547","21094","19751","23396","26765","35627","60286","22437","10198","12274","10700","16197","10066","1542","1026","13390","","","","","","","","","","","",
"서울특별시","광주광역시","이동자수[명]","명","6417","6356","6120","6159","7145","7178","7014","7378","7932","8354","9216","9759","9129","10154","10587","11095","11725","10846","11624","11481","10447","10268","10525","10947","11266","11579","13429","13351","13518","13401","13758","13368","13419","14824","15345","16416","16784","14134","12324","11478","0","0","0","0","","","","","","","","","","","","",
"서울특별시","광주광역시","순이동자수[명]","명","-3396","-3200","-3360","-3614","-3185","-4054","-3713","-3481","-2629","-2078","-1644","-1759","-1835","-1657","-1330","-1547","-2310","-3862","-4770","-4834","-5490","-5793","-6988","-6646","-5898","-6315","-4052","-628","-2124","-2310","-2000","-2909","-4263","-2665","-3537","-5682","-7116","-11164","-6036","-7773","0","0","0","0","","","","","","","","","","","","",
"서울특별시","대전광역시","이동자수[명]","명","11229","10336","10234","10454","11144","11033","10759","11591","11815","12619","13453","13403","13440","14080","13900","13819","13632","13515","14277","14871","14366","14005","15557","14727","15163","16154","17463","19470","16685","18310","18989","18790","20291","17689","19496","19028","16281","0","0","0","0","0","0","0","","","","","","","","","","","","",
"서울특별시","대전광역시","순이동자수[명]","명","-1526","-2634","-2664","-2715","-2710","-4083","-3966","-2630","-2303","-1107","-106","-769","-716","-490","-990","-1974","-3807","-3810","-3591","-2941","-2273","-2085","-1879","-3580","-2526","-2544","-209","4931","1147","3213","4414","4962","6031","3113","4127","2849","-536","0","0","0","0","0","0","0","","","","","","","","","","","","",
"서울특별시","울산광역시","이동자수[명]","명","4033","3896","3655","3584","4065","4085","3827","4086","4260","5102","5950","6047","5542","5691","5188","4742","4845","5057","4801","4656","4227","4252","4456","4085","4266","4105","4563","4413","4545","0","","","","","","","","","","","","","","","","","","","","","","","","","","",
"서울특별시","울산광역시","순이동자수[명]","명","-1490","-1640","-2043","-2655","-2621","-2977","-3128","-2763","-2448","-1648","-1004","-411","-805","-1108","-1090","-1742","-1667","-1205","-1920","-2066","-1947","-2112","-2145","-2483","-2164","-2024","-1734","-1253","-849","0","","","","","","","","","","","","","","","","","","","","","","","","","","",
"서울특별시","세종특별자치시","이동자수[명]","명","4548","4485","4301","4892","5580","5546","5919","5861","5813","5943","7550","6481","2851","2998","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"서울특별시","세종특별자치시","순이동자수[명]","명","-461","-509","-535","342","918","439","1431","2137","2618","3131","5322","4984","1756","1983","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"서울특별시","경기도","이동자수[명]","명","276867","290079","279375","279731","362116","375867","334293","368536","342433","370760","359337","332785","340801","354135","373771","410735","398282","412408","431637","449632","414621","400206","457656","516765","499575","435573","471841","407050","495454","520566","599411","542204","502584","428344","384714","473889","412933","415174","405220","412535","390265","352238","400875","320174","252073","297539","278411","237684","207722","202276","253705","149045","143234","93333","150313","130149",
"서울특별시","경기도","순이동자수[명]","명","41199","62921","51835","60234","124910","109492","91954","135216","107985","136403","119780","83084","94337","99960","101364","124772","80330","88893","94989","91814","102729","110389","132591","195375","179837","122957","131188","130365","197148","229906","336518","283307","246535","174739","128444","190975","67760","4900","97450","179277","163911","124318","169962","123510","64193","65888","110223","72913","53701","57752","46064","41527","36057","2863","54890","34761",
"서울특별시","강원특별자치도","이동자수[명]","명","16405","16431","16340","18374","20974","20701","19105","19558","21016","21590","22659","21173","20601","22332","23624","22736","23331","23668","22177","21969","20483","22071","21696","21582","22941","22832","25741","25840","25178","25221","24987","21384","23244","25215","25208","26591","26394","26691","28699","28489","29911","30470","31308","31013","32116","32858","27599","26700","25415","25927","27837","15479","16481","13561","12885","9352",
