"행정구역별","각세별","항목","단위","2025 년","2024 년","2023 년","2022 년","2021 년","2020 년","2019 년","2018 년","2017 년","2016 년","2015 년","2014 년","2013 년","2012 년","2011 년","2010 년","2009 년","2008 년","2007 년","2006 년","2005 년","2004 년","2003 년","2002 년","2001 년",
"전국","33세","시군구간전입","","54663","52349","48827","43838","49448","53087","48716","49185","52037","57772","63547","63209","61703","56416","59030","59849","61662","67964","73888","78476","74570","73914","78962","70939","73422",
"전국","33세","시군구간전출","","54663","52349","48827","43838","49448","53087","48716","49185","52037","57772","63547","63209","61703","56416","59030","59849","61662","67964","73888","78476","74570","73914","78962","70939","73422",
"전국","33세","시도간전입","","53908","49800","47109","44739","50053","51954","50631","52278","56564","62502","69215","68482","66329","61363","62241","62965","62389","67634","73682","76280","72257","72245","76033","69870","70800",
"전국","33세","시도간전출","","53908","49800","47109","44739","50053","51954","50631","52278","56564","62502","69215","68482","66329","61363","62241","62965","62389","67634","73682","76280","72257","72245","76033","69870","70800",
"전국","34세","총전입","","138821","139451","131862","120188","141220","156894","142978","159870","170626","185922","193819","192463","170549","164789","176192","178834","191468","209424","215243","229186","222214","204551","232264","204859","203318",
"전국","34세","총전출","","138821","139451","131862","120188","141220","156894","142978","159870","170626","185922","193819","192463","170549","164789","176192","178834","191468","209424","215243","229186","222214","204551","232264","204859","203318",
"전국","34세","순이동","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"전국","34세","시군구내","","44718","47811","43821","40052","48162","55331","49572","56338","59753","66020","69272","68519","60955","57598","62573","62535","68214","75457","77247","83581","80882","73823","85630","77733","74961",
"전국","34세","시군구간전입","","47749","46988","45302","39618","46449","51365","46257","50747","53549","58032","59647","59576","52704","50793","55196","56681","61230","67442","69148","74148","71740","65857","75261","64387","64974",
"전국","34세","시군구간전출","","47749","46988","45302","39618","46449","51365","46257","50747","53549","58032","59647","59576","52704","50793","55196","56681","61230","67442","69148","74148","71740","65857","75261","64387","64974",
"전국","34세","시도간전입","","46354","44652","42739","40518","46609","50198","47149","52785","57324","61870","64900","64368","56890","56398","58423","59618","62024","66525","68848","71457","69592","64871","71373","62739","63383",
"전국","34세","시도간전출","","46354","44652","42739","40518","46609","50198","47149","52785","57324","61870","64900","64368","56890","56398","58423","59618","62024","66525","68848","71457","69592","64871","71373","62739","63383",
"전국","35세","총전입","","123904","125629","118296","112202","134537","147232","146007","165236","170848","174359","182216","165548","156422","154158","166612","179264","192811","199055","207567","225025","202807","196691","206112","192204","191899",
"전국","35세","총전출","","123904","125629","118296","112202","134537","147232","146007","165236","170848","174359","182216","165548","156422","154158","166612","179264","192811","199055","207567","225025","202807","196691","206112","192204","191899",
"전국","35세","순이동","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"전국","35세","시군구내","","40484","43374","40077","38005","46881","52971","52072","59703","61236","63075","66642","60359","57105","54884","61122","64371","70160","73142","75985","84232","75248","72924","77353","74229","71609",
"전국","35세","시군구간전입","","42618","42287","40131","36674","43503","47876","46486","51945","52963","53600","55790","50560","48094","46947","51263","55923","61321","63469","66257","72195","64231","62174","65651","59913","60834",
"전국","35세","시군구간전출","","42618","42287","40131","36674","43503","47876","46486","51945","52963","53600","55790","50560","48094","46947","51263","55923","61321","63469","66257","72195","64231","62174","65651","59913","60834",
"전국","35세","시도간전입","","40802","39968","38088","37523","44153","46385","47449","53588","56649","57684","59784","54629","51223","52327","54227","58970","61330","62444","65325","68598","63328","61593","63108","58062","59456",
"전국","35세","시도간전출","","40802","39968","38088","37523","44153","46385","47449","53588","56649","57684","59784","54629","51223","52327","54227","58970","61330","62444","65325","68598","63328","61593","63108","58062","59456",
"전국","36세","총전입","","112897","115178","112526","108752","128469","151494","150200","165490","159594","163559","157118","152073","146972","146580","166967","180592","184247","192518","203326","204329","193805","175656","185456","182227","185064",
"전국","36세","총전출","","112897","115178","112526","108752","128469","151494","150200","165490","159594","163559","157118","152073","146972","146580","166967","180592","184247","192518","203326","204329","193805","175656","185456","182227","185064",
"전국","36세","순이동","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"전국","36세","시군구내","","37725","41069","39290","37626","45986","55379","55075","61166","58084","60742","58954","56981","54925","53535","63062","66691","69231","71747","76517","78571","74074","66231","71043","71505","70820",
"전국","36세","시군구간전입","","38134","38177","37245","35031","41826","49209","47119","50881","48589","49653","46814","45543","44279","44049","50539","56021","57475","61211","63913","64144","60542","55513","58507","56780","57907",
"전국","36세","시군구간전출","","38134","38177","37245","35031","41826","49209","47119","50881","48589","49653","46814","45543","44279","44049","50539","56021","57475","61211","63913","64144","60542","55513","58507","56780","57907",
"전국","36세","시도간전입","","37038","35932","35991","36095","40657","46906","48006","53443","52921","53164","51350","49549","47768","48996","53366","57880","57541","59560","62896","61614","59189","53912","55906","53942","56337",
"전국","36세","시도간전출","","37038","35932","35991","36095","40657","46906","48006","53443","52921","53164","51350","49549","47768","48996","53366","57880","57541","59560","62896","61614","59189","53912","55906","53942","56337",
