"행정구역별(시도)","가구주의 연령별","항목","단위","2025 년","2024 년","2023 년","2022 년","2021 년","2020 년","2019 년","2018 년","2017 년","2016 년","2015 년","2014 년","2013 년","2012 년","2011 년","2010 년","2009 년","2008 년","2007 년","2006 년","2005 년","2004 년","2003 년","2002 년","2001 년","2000 년",
"인천광역시","50~54세","부+미혼자녀","","4678","4939","5216","5512","5660","5755","5909","6024","6107","6271","6544","7137","6850","6344","5835","5125","4898","4451","4032","3690","3284","2906","2680","2499","2317","2158",
"인천광역시","50~54세","모+미혼자녀","","17178","17484","17779","18326","18458","18267","17993","17509","17141","17063","16974","17436","17075","16161","15230","13760","12475","11359","10317","9482","8479","7060","6661","6376","6092","5868",
"인천광역시","50~54세","기타","","13296","13878","14505","14878","14836","15303","15965","16281","16601","17102","17207","18755","18880","18399","17913","16726","15538","14354","13258","12393","11292","10183","9880","9749","9623","9598",
"인천광역시","50~54세","1인 가구","","34362","34161","33852","31137","29094","27093","25639","24470","23897","23842","23540","23436","22638","21105","19574","17375","15649","13789","12066","10600","8953","7659","6865","6207","5563","4975",
"인천광역시","50~54세","비친족가구","","3649","3532","3394","3356","3114","2875","2636","2267","2076","1855","1561","1259","1115","939","773","587","572","527","485","453","411","253","221","193","166","140",
"인천광역시","55~59세","계","","145823","143772","141710","140967","143365","146614","148308","147783","144203","137510","127523","117792","107812","98707","91874","82146","74898","71360","68710","66002","64775","60806","57116","54003","51558","50271",
"인천광역시","55~59세","부부","","21336","21127","20921","20471","20459","20610","20966","20958","21005","20778","19841","15965","14891","13925","13261","12149","11389","10627","9992","9372","8995","8526","7799","7170","6646","6279",
"인천광역시","55~59세","부부+미혼자녀","","51617","51432","51240","50962","53295","55911","57202","57328","55809","53095","49586","46559","43184","40115","37943","34597","32491","31544","30991","30379","30415","28800","27325","26100","25176","24810",
"인천광역시","55~59세","부+미혼자녀","","5658","5623","5585","5575","5762","5988","6101","6066","5840","5580","5186","5380","4727","4124","3625","3025","2788","2621","2490","2356","2272","1897","1725","1573","1442","1343",
"인천광역시","55~59세","모+미혼자녀","","16333","15831","15319","14548","14628","14845","14520","14124","13330","12463","11459","10638","9643","8731","8029","7093","6314","6031","5827","5613","5525","5111","4838","4610","4436","4361",
"인천광역시","55~59세","기타","","13828","13995","14193","14194","14744","16021","17321","18047","18505","18214","16942","16733","15465","14316","13510","12222","10817","10419","10138","9842","9765","9436","9050","8742","8534","8516",
"인천광역시","55~59세","1인 가구","","32991","31973","30938","31847","31205","30106","29224","28588","27378","25440","23055","21402","18989","16770","14942","12679","10772","9812","8983","8168","7542","6806","6177","5631","5169","4826",
"인천광역시","55~59세","비친족가구","","4060","3791","3514","3370","3272","3133","2974","2672","2336","1940","1454","1115","913","726","564","381","327","306","289","272","261","230","202","177","155","136",
"인천광역시","60~64세","계","","144342","145454","146576","141585","134573","125494","116694","107195","98027","89626","81411","73293","69394","66144","63928","61120","57809","54257","52089","50201","49011","47480","46336","44278","42063","40122",
"인천광역시","60~64세","부부","","34320","34919","35544","35488","33995","31257","29097","27052","25198","23349","21267","17496","16576","15797","15278","14631","14021","13056","12417","11833","11418","11466","11039","10397","9722","9102",
"인천광역시","60~64세","부부+미혼자녀","","37072","37727","38397","36983","35326","33501","30989","28470","25971","23944","22342","20533","19718","19095","18738","18218","17789","16913","16472","16132","16012","15136","14902","14374","13797","13325",
"인천광역시","60~64세","부+미혼자녀","","4364","4407","4447","4217","4059","3849","3571","3227","2879","2619","2422","2551","2346","2162","2011","1840","1618","1484","1394","1312","1250","1187","1126","1044","960","887",
"인천광역시","60~64세","모+미혼자녀","","10474","10505","10532","9915","9192","8538","7809","7128","6480","5901","5414","4900","4659","4464","4335","4169","4051","3838","3723","3630","3587","3377","3296","3150","2992","2857",
"인천광역시","60~64세","기타","","13011","13672","14419","14373","14379","14790","15031","14560","13938","13150","12103","11999","11543","11191","11029","10736","10102","9605","9345","9134","9039","8944","8958","8781","8557","8375",
"인천광역시","60~64세","1인 가구","","41111","40408","39611","37092","34441","30769","27728","24704","21836","19295","16864","15047","13920","12933","12153","11271","10003","9151","8538","7969","7520","7198","6855","6387","5905","5460",
"인천광역시","60~64세","비친족가구","","3990","3816","3626","3517","3181","2790","2469","2054","1725","1368","999","767","632","502","384","255","225","210","200","191","185","172","160","145","130","116",
"인천광역시","65~69세","계","","121435","112883","104307","94550","86348","77032","69925","66253","63440","60582","58867","54537","51074","49146","47457","46464","45081","44315","42066","39844","38713","37170","35326","33123","30902","28323",
"인천광역시","65~69세","부부","","40871","37984","35082","32580","30002","26518","23984","22552","21363","20283","19524","16557","15534","14962","14444","14141","13789","13518","12799","12092","11725","11845","11134","10315","9492","8555",
"인천광역시","65~69세","부부+미혼자녀","","18613","17603","16550","14818","13746","12812","11827","11446","11060","10639","10632","10285","9588","9194","8855","8673","8388","8321","7971","7619","7463","6878","6552","6157","5761","5311",
"인천광역시","65~69세","부+미혼자녀","","2379","2244","2104","1881","1724","1617","1501","1452","1444","1436","1395","1232","1120","1045","978","925","906","869","804","741","698","673","626","572","519","462",
"인천광역시","65~69세","모+미혼자녀","","6064","5707","5340","4818","4447","4097","3713","3474","3285","3183","3158","3190","2978","2856","2752","2695","2722","2674","2534","2397","2323","1971","1869","1746","1626","1489",
"인천광역시","65~69세","기타","","10927","10699","10462","9826","9482","9281","9124","9219","9491","9515","9458","9984","9464","9231","9060","8973","8933","8953","8667","8370","8286","7825","7573","7242","6898","6477",
"인천광역시","65~69세","1인 가구","","40554","36879","33251","29334","25850","21813","19048","17520","16338","15192","14453","12995","12126","11616","11144","10848","10129","9770","9093","8438","8037","7866","7466","6989","6512","5942",
"인천광역시","65~69세","비친족가구","","2027","1767","1518","1293","1097","894","728","590","459","334","247","294","264","242","224","209","214","210","198","187","181","112","106","102","94","87",
"인천광역시","70~74세","계","","79451","72543","65615","62499","59543","57611","54067","50652","47974","46483","44842","43910","42742","39668","37075","35550","34218","32355","30807","28995","27135","24569","22526","20528","18656","17292",
"인천광역시","70~74세","부부","","30297","27490","24687","23459","22219","21158","19475","17983","16753","16110","15430","13579","13315","12446","11717","11332","11230","10552","9983","9332","8680","8290","7515","6761","6054","5515",
"인천광역시","70~74세","부부+미혼자녀","","8016","7416","6799","6515","6408","6582","6335","5974","5640","5459","5285","4961","4772","4368","4023","3791","3669","3451","3263","3045","2812","2586","2369","2154","1953","1803",
"인천광역시","70~74세","부+미혼자녀","","1238","1145","1049","1003","1004","986","944","907","840","801","770","814","762","676","600","545","499","465","435","400","365","330","297","263","231","206",
"인천광역시","70~74세","모+미혼자녀","","3513","3242","2963","2759","2672","2655","2574","2494","2384","2325","2280","2386","2273","2062","1879","1754","1565","1472","1393","1301","1205","1096","991","889","794","719",
"인천광역시","70~74세","기타","","7724","7465","7174","7169","7283","7707","7954","7946","7989","8127","8117","9258","8988","8324","7769","7413","7288","7021","6821","6556","6267","5215","4840","4471","4129","3894",
"인천광역시","70~74세","1인 가구","","27486","24777","22095","20818","19254","17886","16243","14909","14024","13394","12753","12622","12372","11569","10895","10549","9839","9268","8786","8238","7686","6963","6430","5909","5419","5080",
"인천광역시","70~74세","비친족가구","","1177","1008","848","776","703","637","542","439","344","267","207","290","260","223","192","166","128","126","126","123","120","89","84","81","76","75",
"인천광역시","75~79세","계","","54387","51562","48727","45713","43757","42597","41309","39681","37005","33551","31349","30359","28059","26010","24185","22038","20030","18522","17006","15568","14442","13276","12220","11500","10860","10070",
"인천광역시","75~79세","부부","","19880","18641","17405","15909","15002","14316","13572","12774","11726","10538","9859","8796","8206","7680","7215","6654","6123","5609","5095","4607","4210","4219","3901","3691","3506","3270",
"인천광역시","75~79세","부부+미혼자녀","","4281","4005","3728","3491","3372","3349","3259","3087","2817","2465","2237","2115","1905","1709","1520","1312","1190","1092","994","899","821","825","778","749","726","694",
"인천광역시","75~79세","부+미혼자녀","","762","719","676","601","588","584","598","597","561","491","439","450","394","342","295","245","226","207","188","169","155","126","116","112","105","98",
"인천광역시","75~79세","모+미혼자녀","","2594","2437","2278","2091","2004","2022","1993","1884","1691","1522","1414","1441","1294","1159","1033","897","838","770","701","636","584","469","415","372","331","286",
"인천광역시","75~79세","기타","","6337","6298","6259","6094","6267","6654","6963","7123","6998","6589","6267","6927","6289","5722","5210","4614","4270","4018","3759","3512","3339","2863","2668","2541","2430","2289",
"인천광역시","75~79세","1인 가구","","19806","18811","17804","17007","16053","15240","14528","13878","12945","11738","10960","10410","9788","9249","8789","8222","7301","6744","6188","5665","5252","4722","4293","3988","3717","3390",
"인천광역시","75~79세","비친족가구","","727","651","577","520","471","432","396","338","267","208","173","220","183","149","123","94","82","82","81","80","81","52","49","47","45","43",
"인천광역시","80~84세","계","","36569","35309","34047","31379","28150","26269","24580","22399","20569","18759","16939","15249","13875","12532","11361","10450","9531","8604","7893","7444","6965","6302","5602","4923","4387","3889",
"인천광역시","80~84세","부부","","11117","10621","10119","9109","8098","7353","6830","6121","5496","4984","4499","3587","3322","3059","2830","2669","2662","2418","2234","2124","2009","1907","1712","1521","1373","1238",
"인천광역시","80~84세","부부+미혼자녀","","2034","1926","1816","1604","1404","1299","1204","1058","943","811","683","674","595","511","433","368","357","330","311","300","289","251","227","205","188","171",
"인천광역시","80~84세","부+미혼자녀","","479","455","430","386","352","349","301","247","205","176","159","130","116","104","92","81","84","77","71","68","64","67","60","53","47","41",
"인천광역시","80~84세","모+미혼자녀","","1796","1689","1582","1388","1254","1149","1021","863","780","721","644","671","587","505","433","369","250","219","195","177","156","155","132","111","93","75",
"인천광역시","80~84세","기타","","5130","5140","5158","4849","4589","4643","4653","4477","4269","3971","3596","3981","3502","3038","2618","2236","2012","1862","1749","1698","1640","1332","1194","1059","953","853",
"인천광역시","80~84세","1인 가구","","15498","15000","14497","13673","12129","11182","10319","9432","8704","7950","7238","6087","5654","5234","4890","4679","4119","3653","3289","3034","2765","2554","2243","1943","1704","1483",
"인천광역시","80~84세","비친족가구","","515","478","445","370","324","294","252","201","172","146","120","119","99","81","65","48","47","45","44","43","42","36","34","31","29","28",
"인천광역시","85세이상","계","","25306","23044","20782","18712","16650","14834","13205","11816","10611","9610","8727","7765","6787","6048","5505","4758","4295","3788","3307","2885","2489","2189","1942","1731","1479","1259",
"인천광역시","85세이상","부부","","5276","4816","4353","3821","3402","3031","2660","2364","2090","1912","1788","1598","1440","1332","1271","1163","1068","942","821","715","617","543","486","438","379","328",
"인천광역시","85세이상","부부+미혼자녀","","721","652","582","487","423","358","315","282","237","214","204","210","184","165","150","129","101","91","81","73","65","82","72","65","55","48",
"인천광역시","85세이상","부+미혼자녀","","293","267","241","190","168","141","123","119","106","100","99","101","90","77","69","56","52","47","41","36","31","24","21","17","15","12",
"인천광역시","85세이상","모+미혼자녀","","1033","927","823","709","619","520","461","428","384","322","280","252","207","173","143","107","91","79","67","56","46","29","26","21","17","13",
"인천광역시","85세이상","기타","","4306","4006","3700","3336","3104","2943","2818","2580","2370","2153","1943","2099","1783","1518","1312","1051","987","909","830","762","706","565","501","448","382","323",
"인천광역시","85세이상","1인 가구","","13308","12046","10788","9897","8688","7600","6614","5878","5280","4773","4298","3416","3011","2723","2513","2221","1970","1696","1444","1221","1004","923","814","722","614","520",
"인천광역시","85세이상","비친족가구","","369","330","295","272","246","241","214","165","144","136","115","89","72","60","47","31","26","24","23","22","20","23","22","20","17","15",
"인천광역시","65세이상","계","","317148","295341","273478","252853","234448","218343","203086","190801","179599","168985","160724","151820","142537","133404","125583","119260","113155","107584","101079","94736","89744","83506","77616","71805","66284","60833",
"인천광역시","65세이상","부부","","107441","99552","91646","84878","78723","72376","66521","61794","57428","53827","51100","44117","41817","39479","37477","35959","34872","33039","30932","28870","27241","26804","24748","22726","20804","18906",
"인천광역시","65세이상","부부+미혼자녀","","33665","31602","29475","26915","25353","24400","22940","21847","20697","19588","19041","18245","17044","15947","14981","14273","13705","13285","12620","11936","11450","10622","9998","9330","8683","8027",
"인천광역시","65세이상","부+미혼자녀","","5151","4830","4500","4061","3836","3677","3467","3322","3156","3004","2862","2727","2482","2244","2034","1852","1767","1665","1539","1414","1313","1220","1120","1017","917","819",
"인천광역시","65세이상","모+미혼자녀","","15000","14002","12986","11765","10996","10443","9762","9143","8524","8073","7776","7940","7339","6755","6240","5822","5466","5214","4890","4567","4314","3720","3433","3139","2861","2582",
"인천광역시","65세이상","기타","","34424","33608","32753","31274","30725","31228","31512","31345","31117","30355","29381","32249","30026","27833","25969","24287","23490","22763","21826","20898","20238","17800","16776","15761","14792","13836",
"인천광역시","65세이상","1인 가구","","116652","107513","98435","90729","81974","73721","66752","61617","57291","53047","49702","45530","42951","40391","38231","36519","33358","31131","28800","26596","24744","23028","21246","19551","17966","16415",
"인천광역시","65세이상","비친족가구","","4815","4234","3683","3231","2841","2498","2132","1733","1386","1091","862","1012","878","755","651","548","497","487","472","455","444","312","295","281","261","248",
"광주광역시","합계","계","","634187","630151","626103","620705","610125","595162","584240","577610","573582","568629","564134","554822","544990","536325","529498","517232","506243","496583","487022","477506","467830","458102","448556","438243","427646","418812",
