"행정구역(시군구)별",2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992
"광양시",73307,72237,70162,68734,67103,65668,65725,64186,62790,61487,59789,58698,57707,57026,56442,53423,51840,50344,48665,47707,46742,45541,44373,43842,43176,42670,42523,41915,39893,39212,38520,-,-,-
"담양군",23941,24215,24557,24787,24773,24369,23521,23129,22710,22334,21953,21735,21516,21308,21217,20989,20431,20421,20852,20294,19976,19406,18898,18649,18715,18940,19000,19080,18904,18820,18752,18412,18360,18201
"곡성군",15844,15600,15577,15512,15536,15414,15289,15132,15090,14960,14994,14782,14705,14269,14342,14449,14241,14198,14460,14166,14077,13850,13876,14108,14232,14386,14128,14147,13914,13574,13442,13282,13351,13320
"구례군",13423,13402,13432,13429,13462,13414,13243,13151,13106,12883,12672,12424,12230,12067,12047,11968,11851,11759,11759,11862,11883,11819,11722,11762,11718,11660,11563,11553,11271,11121,11033,10912,10925,10786
"광양군",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19383,19527,19937
"여천군",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18275,18256,18311,18320,18652,18562
"승주군",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20880,20881,20372
"고흥군",35082,35280,35360,35445,35379,35290,34791,34536,34516,34508,34583,34657,34699,34807,34855,35151,35162,35110,35284,35622,35902,36222,36664,36471,36600,36806,36524,36282,35846,35872,36020,36162,36504,36164
"보성군",21694,21753,21967,22282,22511,22628,22276,22459,22428,22449,22384,22345,22296,22381,22557,22833,22611,22622,22624,22759,22862,22827,22912,22698,22826,22960,22968,22925,22645,22841,22955,23026,23260,23316
"화순군",31606,31825,31976,32093,32012,31090,30103,29928,29671,29575,29405,29430,29517,29452,29495,29494,29147,28944,29012,28917,28835,28770,28794,29030,28929,28173,27573,26582,24833,24205,22556,21603,21174,20625
"장흥군",19681,19633,19691,19788,20103,20431,20143,20139,20232,20161,20890,20603,20447,20228,20085,19878,19431,19265,19319,19333,19393,19368,19392,19541,19651,19676,19698,19647,19316,19113,18921,18714,18720,18692
"강진군",18117,18210,18449,18550,18592,18612,18351,18352,18358,18414,18577,18753,18756,18550,18824,18783,18491,18352,18246,18253,18205,18133,18063,18086,18496,18111,18429,18355,17988,17811,17815,17735,17789,17680
"해남군",34369,34600,34916,35074,35225,35259,34824,34745,35071,35231,35354,35344,35438,35488,35366,35660,35400,34952,35009,35075,35215,35147,35244,35217,35746,35717,35222,34689,33605,33231,33308,33195,33465,33034
"영암군",28342,28670,28817,28353,28197,27827,27362,26851,26885,27190,27242,27353,27191,27467,27544,27248,26642,25957,25643,25338,25069,24743,24599,24542,24019,23902,23626,23151,22064,21666,20504,20065,20197,20129
"무안군",46419,44868,43436,43119,42739,40114,36722,36410,36235,35500,35086,34562,33549,32248,32211,31572,30383,28076,26900,25675,25215,24909,24830,24931,25191,24927,24723,24434,24022,23557,23354,23064,23062,22767
"나주군",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25895,25906,25683
"함평군",17579,17833,18065,18010,17980,17995,17837,17751,17790,17591,17547,17489,17604,17519,17556,17716,17575,17449,17434,17412,17553,17153,17312,17114,17255,17398,17528,18372,17244,17170,17259,17158,17421,17309
"영광군",28579,27900,27602,27549,27112,27138,26687,26378,26244,26054,26070,26040,26309,25778,25552,25637,24983,24860,24762,24991,25162,25100,25057,25251,25663,25850,25770,25603,24715,23734,23707,23833,24566,24478
"장성군",23534,23170,23400,23358,23160,23178,22850,22095,21885,21557,21529,21292,21191,20971,20882,20938,20491,20289,20257,20119,20228,20050,19869,19721,19888,19835,19657,19640,19517,19236,18874,17687,17602,17566
"완도군",25091,25357,25602,25781,26029,26241,25872,25835,25750,25688,25535,25321,25240,25215,25227,25274,24977,24745,24937,25095,25075,25068,24938,24904,25018,24715,24519,23805,23352,23141,23148,23007,23187,23032
"진도군",16342,16436,16548,16578,16700,16840,16102,16110,16060,15911,15932,15865,15803,15736,15775,15782,15580,15641,15728,15799,15781,15817,15732,15714,15828,15735,15811,15629,15505,15537,15737,15466,15570,15544
"신안군",22430,21964,21946,21816,21843,21827,21736,21883,22046,22077,22270,22192,22272,22059,22105,22374,21879,21686,21363,21297,20646,20460,20849,20257,20240,20292,20304,20231,19895,20079,20396,20844,21506,21797
"경상북도",1295685,1291568,1282500,1286873,1276846,1254662,1227548,1207351,1193261,1180643,1169648,1153559,1139387,1125195,1114901,1101486,1073367,1058099,1045213,1030265,1006080,985475,974099,964032,954933,943498,931140,921203,903074,882384,858110,867007,851883,826972
"포항시",238639,237089,233932,232371,232201,225693,220328,216654,214012,212095,210690,207515,204857,202148,199120,196411,190790,187079,183065,179593,176676,172929,170098,167754,165648,163532,160059,157631,155235,153133,150337,94176,91843,89842
"남구",108623,109739,110639,109532,109419,106025,104824,103887,103117,102685,102172,101073,100431,99746,98991,98648,96040,94588,92588,90248,89359,87147,86558,-,-,-,-,-,-,-,-,-,-,-
"북구",130016,127350,123293,122839,122782,119668,115504,112767,110895,109410,108518,106442,104426,102402,100129,97763,94750,92491,90477,89345,87317,85782,83540,-,-,-,-,-,-,-,-,-,-,-
"경주시",126452,124985,124577,124027,123071,121505,118542,116805,114942,113798,112609,111848,111053,109675,108945,108567,106571,105579,105009,103547,102182,101031,100514,99383,98386,97715,96664,95170,93794,90774,87124,44392,43202,40849
"김천시",69098,69000,69125,69038,68393,67122,65273,63443,63360,62202,60757,57275,56681,55964,55334,54693,53122,53071,52352,51688,51244,50543,51193,49159,49227,48360,47994,46742,45993,45266,44608,23727,23173,22503
"안동시",80964,80157,78283,77759,77666,76915,74827,73863,73816,73714,73108,71881,70674,69617,68766,68075,66870,65849,64409,63530,62994,62202,61667,61310,60583,60077,59398,59034,58262,57960,57005,33865,32807,31586
"구미시",193084,190392,187139,184786,182645,179889,176015,173269,171387,168487,167635,166686,165018,163030,161502,157057,151440,149224,147127,143411,134065,127745,122042,118921,116059,112223,111946,110101,106918,103064,99723,70656,67524,60727
"영주시",51283,51571,51423,50663,50271,49718,49063,48982,48845,48678,48186,48093,48324,47908,47446,46744,45397,44843,44447,44182,43914,43648,43423,42918,42746,42561,42261,41990,41102,40564,40173,23788,23087,22433
"영천시",53903,54862,54976,54431,53904,52861,51439,50020,48564,47509,47110,46355,45605,45328,45765,44857,43964,43571,43539,42429,42484,42412,42820,42632,42581,42039,42075,41761,40123,39084,38614,16478,16001,15077
"상주시",48776,49163,49493,49315,48965,48856,48796,47527,47048,46750,46313,45845,45413,45174,45047,44981,44549,43432,43246,42901,42848,42775,42900,43099,43171,43180,43024,43068,42727,42192,41599,15389,14948,14450
"점촌시",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13044,12875,12758
"문경시",36039,36638,36814,37056,37069,36268,35587,34644,34555,34643,34625,34159,33674,33357,33226,33161,32082,31071,30140,30094,30015,29771,29642,29745,30571,30188,29585,29360,28853,28641,28549,-,-,-
"경산시",131848,131633,129264,127392,124869,119680,115537,112513,109849,107821,106495,103935,100272,98130,96241,94447,91529,90779,89966,88427,84463,79836,77279,76068,73645,72047,71174,69655,65427,59726,52339,24178,22422,20211
"달성군",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35588,34742,33259
"군위군",-,-,-,13693,13258,13096,12938,12784,12670,12428,12189,12038,11896,11671,11647,11791,11673,11625,11669,11749,11864,11995,12035,12317,12614,12271,11975,11720,11717,11612,11562,11462,11563,11407
"의성군",29065,29104,29471,29005,28798,28750,28212,27822,27574,27440,27398,27352,27316,27407,27370,27475,26941,26813,26848,27013,27077,27140,27445,27706,28082,28406,28550,28689,28575,28535,28632,28852,29134,28927
"안동군",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22232,22649,22777
"청송군",13934,13985,13999,14038,14029,14064,13862,13723,13562,13460,13332,13220,13023,12885,12827,12740,12595,12495,12499,12503,12542,12503,12611,12674,12811,12756,12637,12658,12495,12287,12308,12189,12242,12017
"영양군",9142,8954,8994,9070,9055,9127,8942,8913,8827,8800,8784,8817,8825,8725,8688,8681,8495,8460,8458,8496,8466,8314,8308,8296,8389,8365,8374,8375,8242,8262,8172,8123,8195,8159
"영덕군",19389,19486,19725,19741,19895,20153,20085,20123,20045,20185,20039,20006,20076,19919,20051,20140,19790,19717,19735,20109,19493,19378,19338,19957,19291,19391,19437,19317,19058,19005,18979,18934,19014,18917
"영일군",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52732,52286,51001
"경주군",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39793,39054,37706
"영천군",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21588,21708,21366
"경산군",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25157,23977,23371
"청도군",23511,23427,23525,23443,23251,22843,22473,22181,21912,21722,21493,21211,20830,20578,20397,20177,19682,19428,19386,19282,19069,18950,19114,18960,18889,18955,19236,19369,19092,18710,18157,17956,17987,17749
"고령군",17343,17301,17023,16758,16556,16497,16227,16204,16241,16215,16218,16163,16059,15983,15911,15417,15049,14944,14758,14520,14103,13826,13721,13733,13719,13772,13727,13672,13549,12945,12127,11971,11917,11669
"성주군",23950,24108,24059,23918,23621,23516,22915,22677,22389,21877,21444,20989,20686,20395,20428,20092,19839,19325,19279,19163,18999,18709,18720,18948,18456,18362,18403,18403,18382,18201,17927,17649,17429,16947
"칠곡군",53506,53873,54578,54443,53883,53026,52659,52599,52993,53695,53174,52555,52053,50792,49961,49729,48219,46821,45543,43894,40385,38849,37865,36818,35683,34921,30431,30032,29532,28627,26793,24948,23889,23200
"금릉군",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20405,20548,20479
"선산군",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18854,18692,18339
"상주군",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25418,25642,25734
"문경군",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15252,15612,15903
"예천군",27980,27988,28145,28155,27771,27301,26453,25273,23504,22123,21395,21394,21385,21378,21430,21490,21200,21021,20947,20936,20705,20635,20617,20801,21066,21175,21234,21509,21358,21444,21491,21448,21650,21729
"영풍군",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15812,15896,15842
"봉화군",16502,16600,16823,16830,16882,16908,16705,16705,16583,16492,16409,16268,16011,15874,15825,15843,15413,15288,15170,15105,15067,14997,15143,14944,15112,15151,15255,15318,15182,15177,15161,15071,15241,15420
"울진군",25814,25584,25527,25462,25535,25562,25244,25137,25148,25186,24926,24590,24256,23864,23652,23666,23309,23091,23099,23185,23347,23532,23912,24155,24428,24207,23861,23681,23657,23390,22891,22095,21078,20649
"울릉군",5463,5668,5605,5479,5258,5312,5426,5490,5435,5323,5319,5364,5400,5393,5322,5252,4848,4573,4522,4508,4078,3755,3692,3734,3776,3844,3840,3948,3801,3785,3839,3785,3856,3969
"경상남도",1548615,1537492,1525502,1516930,1505971,1484601,1450822,1425271,1406011,1385684,1367142,1343984,1320887,1301439,1286678,1268731,1231461,1203767,1177923,1153979,1129320,1096069,1074004,1043704,1018039,999572,980868,967817,945671,1218691,1181013,1165466,1133885,1099927
"창원시",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,176102,174485,172670,170968,168342,164126,162053,159887,161029,158699,156648,153655,152763,148105,141814,124344,118554,114988
"창원시",462257,459474,456830,456191,451940,442097,431382,425771,420517,417762,415872,412256,409981,408227,404755,400054,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"의창구",97655,97065,96997,96712,95630,111656,106817,102538,101257,99924,100458,99821,97428,96316,95186,93315,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"성산구",109601,107403,106216,106194,105052,86158,85420,85722,84149,83682,83742,83959,84706,85336,84983,85030,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"마산합포구",86635,86429,85763,84722,84087,80142,78684,78259,77798,76899,75740,74924,74300,74223,73762,73087,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"마산회원구",82902,82805,82225,82697,82405,82303,80629,81278,81903,83640,83492,83397,84053,83487,83382,83165,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"진해구",85464,85772,85629,85866,84766,81838,79832,77974,75410,73617,72440,70155,69494,68865,67442,65457,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"울산시",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,298334,287982,225477,220499,219629
"마산시",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,150964,150542,150129,150068,148034,145372,143918,141658,139790,137513,136389,134983,130507,129047,127274,109679,109932,110259
"진주시",162183,161283,159833,158827,157292,154197,149078,145153,142865,140748,138231,134500,131740,130438,128875,127321,124102,122292,121640,120924,119290,116241,113633,110674,108100,106885,104920,103626,101359,98445,96018,72297,70124,67692
"진해시",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,62934,61331,58915,57421,55170,51645,50336,46084,43316,42600,41636,41259,40856,39444,38312,37282,35900,34932
"충무시",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27443,26748,25969
"통영시",59252,59367,59466,59506,59738,59813,59423,59125,58941,59214,59015,58427,58147,57321,57496,57291,54917,53371,51796,50249,48960,47639,46547,45354,44666,44035,43833,43344,42402,41666,41105,-,-,-
"삼천포시",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17955,17785,17449
"사천시",56028,55569,55125,54395,53944,53509,52503,52184,51348,51012,50520,50072,49647,48642,47905,47419,45849,45174,44371,43406,41881,40864,40588,40271,40103,39262,38489,37723,37272,36748,35873,-,-,-
"사천남양출장소",0,0,0,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"김해시",238676,234416,231783,228540,225984,223242,217228,208710,204894,200370,197865,194766,190133,184977,181135,178354,171380,163890,157701,152154,146949,140083,131948,123827,110096,106152,99712,97377,91570,85236,77326,46730,43001,40451
"장유출장소",0,0,0,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"밀양시",54109,54004,53906,53674,53120,52673,51541,51044,50597,50158,49197,48321,47872,47423,46963,46904,45673,45121,44426,43815,43472,43032,42722,42487,42491,42162,42056,41915,41438,40486,40089,14772,14334,13739
"장승포시",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15852,14844,14188
"거제시",107012,106060,104565,103495,103674,103779,101969,100775,101279,102413,101534,97392,93572,90793,88629,86467,84371,79463,74380,70545,67299,63813,61456,58729,56989,55062,54063,52969,50272,48199,45430,-,-,-
"양산시",165890,163197,158640,155897,153732,149595,145297,141871,135821,125453,117649,113213,106677,102031,99954,96584,91153,87272,82501,79676,77556,73310,71471,68432,65013,61724,57907,55346,53634,51122,-,-,-,-
"양산시웅상출장소",0,0,0,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"진양군",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21499,21287,20967
"의령군",14793,14905,14923,15098,15010,14917,14577,14587,14436,14419,14427,14538,14436,14505,14274,14300,14160,14094,14171,14039,13678,13766,13600,13333,13283,13382,13438,13463,13436,13397,13350,13150,13217,13089
"함안군",29912,30220,30566,30808,30978,31056,30910,30989,31076,31106,30882,30289,29454,29076,28523,28311,27596,26949,26177,25296,24059,23574,23620,23331,23116,22445,22318,22327,21906,21463,21152,20826,21016,20450
"창녕군",31769,31996,32027,32198,32469,32203,31504,31429,31256,30810,30378,29944,29635,29320,28846,28341,27441,27072,26990,26877,26852,26585,26359,26292,26352,26478,26597,26808,26658,26482,26390,26163,26212,25791
"밀양군",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24693,24765,24544
"양산군",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48860,65961,61877,54344
"울산군",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53082,48894,42798
"김해군",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25147,25213,24733
"창원군",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28376,26636,24056
"통영군",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12501,12531,12591
"거제군",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27100,26376,25508
"고성군",26339,26383,26546,26564,26318,26222,25882,25842,25827,25853,25883,25844,25718,25685,25692,25599,25198,24231,23534,22906,22727,22583,22478,22413,22369,22201,21981,22046,21763,21432,21306,21103,20960,20679
"사천군",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16543,16005,15498
"남해군",22755,22268,22534,22774,22786,22780,22612,22255,22135,22155,22236,22265,22325,22477,22918,22438,22223,22102,22367,21419,21298,21330,21339,21243,21373,21438,21532,21612,21489,21479,21585,21388,21229,21074
"하동군",23252,23472,23567,23675,23769,23796,23738,23631,23805,23704,23603,22910,23032,22935,23666,22602,22418,22066,22218,21438,21196,21088,21365,20647,20952,20509,20441,20315,20060,19881,19856,19689,19544,19192
"산청군",19556,19591,19639,19576,19600,19454,19040,18856,18740,18404,18083,17793,17673,17420,17223,17057,16508,16253,16116,15837,15650,15319,15281,15112,14999,15088,15103,15251,15187,15107,14909,14674,14670,14624
"함양군",20242,20471,20679,20868,20840,20754,20427,20159,19915,19598,19363,19222,19095,18935,18934,18810,18298,17927,17697,17534,17310,17082,16986,16919,16800,16758,16721,16660,16405,16217,16255,16090,16049,15923
"거창군",31183,31129,30934,30659,30564,30253,29538,28814,28353,28203,27895,27681,27510,27196,26993,26983,26362,25994,25909,25563,25406,25031,24664,24333,24424,24299,24082,23955,23565,23423,23123,22782,22610,22156
"합천군",23407,23687,23939,24185,24213,24261,24173,24076,24206,24302,24509,24551,24240,24038,23897,23896,23812,24138,24215,23844,24191,23586,23640,22678,22778,22880,23002,23183,23129,22978,23004,22868,23073,22614
"제주특별자치도",315462,314862,313155,311355,307529,302033,293155,287104,278203,266972,256928,246516,238465,232141,227873,224713,217711,214681,211850,208424,204635,199989,194855,188760,183248,177600,173612,170338,165104,160721,156987,153212,150555,146750
"제주시",226663,225846,224433,222599,219978,216202,209439,204621,198454,192353,185874,179090,173370,168658,165494,162824,157704,155398,153042,150379,110161,105459,101976,98081,94368,90562,87991,86052,83215,80612,78252,75557,73566,71152
"서귀포시",88799,89016,88722,88756,87551,85831,83716,82483,79749,74619,71054,67426,65095,63483,62379,61889,60007,59283,58808,58045,30505,29985,29136,28813,28344,27787,27348,26813,26261,25745,25508,25034,24764,24199
"북제주군",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36886,37961,37206,35880,34775,33898,33479,33079,31530,30749,30058,29693,29385,28833
"남제주군",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27083,26584,26537,25986,25761,25353,24794,24394,24098,23615,23169,22928,22840,22566
