"행정구역(시군구)별",2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992
"중구",50357,48786,44871,40749,38370,39111,38418,38619,37856,37987,38294,37220,35780,35175,35371,35539,34106,34130,33954,33445,33524,32513,33369,33448,33444,33553,34217,34865,35759,36549,38242,39883,41463,41365
"동구",165581,164806,162691,159422,158423,155865,152545,152370,148719,147154,144403,141918,138851,136479,135187,132857,127721,125324,124923,123614,123369,120937,117717,112567,112099,111127,110384,109528,108188,108123,108373,108680,107484,106493
"서구",85176,84268,83949,81116,82301,83437,82733,85142,86738,88468,89896,90413,90793,91162,91355,91134,88112,87470,89005,89795,90557,91058,91843,92594,93386,93631,94166,95892,99155,101942,103684,105795,107200,109198
"남구",75515,75203,75887,76401,76256,76582,74588,74134,73442,73979,74949,75028,75038,75085,74508,74527,72426,72425,72077,71127,69221,68189,68478,67726,67438,67264,67840,67546,68748,70613,72901,73979,74386,75015
"북구",192994,191797,191349,192697,190956,187494,180115,177162,174617,171181,169568,167760,165041,164222,163032,162429,159488,160139,158730,159651,156299,152123,146477,139927,130373,127476,124539,119897,118857,117632,113428,105915,101270,93998
"수성구",176766,174674,171939,171480,171239,170870,167040,165843,164900,165392,165786,165197,164518,162023,161277,160501,155905,153291,151031,147699,144890,143965,143946,141698,144550,144328,142625,142066,142619,140564,135508,129263,123324,118988
"달서구",238647,237415,235685,235883,234950,235303,231978,227966,224583,225643,225889,224083,222326,217731,215189,213725,206757,202699,198529,195286,194385,192586,191545,188731,184343,179046,170668,165425,152889,143497,141510,136094,126404,117520
"달성군",113978,113777,114189,113125,111398,107965,103834,100030,95898,84416,73575,68999,67918,66775,64851,63886,61955,59491,55671,54556,53521,51771,51867,50486,50076,49354,45452,44214,43689,39930,37829,-,-,-
"군위군",13494,13404,13588,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"인천광역시",1400788,1373827,1350912,1322632,1298647,1267956,1238641,1213201,1188917,1171399,1154004,1136280,1118988,1097491,1077563,1059664,1026936,1014755,995712,965302,933686,908673,891606,872057,845739,829164,809671,794534,774322,745109,724905,669096,644004,615125
"중구",88888,83800,79520,75960,71061,68379,65002,57887,54525,52218,51240,49874,47949,44368,42288,42065,39991,38994,39082,39329,38707,36821,33920,30002,27593,26403,26144,26021,25660,24475,24394,24257,24688,25074
"중구영종출장소",0,0,0,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"중구용유출장소",0,0,0,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"동구",27216,27792,28091,27618,28681,28777,28739,28952,29870,30081,30371,30776,30966,31423,32208,32474,30943,29968,29286,29280,29474,30034,29528,26739,26523,26253,26982,27342,29744,30575,31482,31939,33252,33898
"남구",-,-,-,-,-,-,-,-,182292,178444,171888,171507,171342,171293,171868,173785,169510,168330,163179,161439,158876,159882,157384,152081,144020,139631,137125,135263,134951,132979,131415,182336,164876,147836
"미추홀구",205242,201075,196607,194841,193561,188277,184872,184275,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"연수구",168688,163940,159905,156047,155984,152266,140700,129806,123913,120580,115920,112015,107906,104748,102953,100065,96504,95062,94432,93776,89463,84610,83788,83213,83016,82976,82077,81149,78296,72903,64800,-,-,-
"남동구",225320,224816,224268,226763,228442,225394,221455,218945,214280,209885,208231,199768,194917,192030,188124,179592,173529,168414,157972,143117,135174,134286,135330,136423,134790,132897,128292,126555,124207,121233,119084,116961,112775,109426
"북구",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,231324,228146,220761
"부평구",226292,224988,223271,217924,213372,211305,211851,212906,215192,216492,217217,216336,214173,213125,212946,214701,210135,210888,208567,205623,200093,193059,190442,187280,180135,176797,169841,166302,159797,159030,154957,-,-,-
"계양구",128575,127670,125640,127201,127984,124421,123283,124281,125936,126963,127063,128138,128889,127706,127929,128996,125826,124606,124259,122313,117132,115112,114119,111745,108537,106610,104611,102034,96873,82709,80547,-,-,-
"서구",282102,271798,266168,248741,232834,223229,217887,211847,199152,194008,190119,186599,182028,172946,160340,149708,143236,142084,143776,136814,132688,124078,117215,115348,112160,109031,106295,101678,96795,93601,91035,82279,80267,78130
"서구검단출장소",0,0,0,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"강화군",36130,35588,35005,35114,34667,33915,33163,32556,31869,31106,30703,30184,29713,29308,29071,29055,28506,28210,27252,26170,25278,24522,23956,23459,23297,22974,22821,22758,22780,22491,22152,-,-,-
"옹진군",12335,12360,12437,12423,12061,11993,11689,11746,11888,11622,11252,11083,11105,10544,9836,9223,8756,8199,7907,7441,6801,6269,5924,5767,5668,5592,5483,5432,5219,5113,5039,-,-,-
"광주광역시",658450,658075,655433,652355,645712,633582,616485,603107,592818,586464,580427,573043,563599,555538,549105,540875,524093,513021,503844,495065,481935,469847,460647,449469,439620,430376,420898,411965,399011,386216,378788,370388,359457,346102
"동구",55152,55362,55283,54072,52362,51029,47885,45452,45341,45095,45860,46153,46428,47283,47472,46449,46854,47112,48606,47393,46386,45705,44081,42427,41911,42237,42740,43782,44370,46224,46804,47891,49550,49808
"서구",132651,132715,133816,133554,132808,131373,128783,126751,124663,123500,120107,119658,119155,117665,116992,111381,108212,107698,106561,105446,103653,102125,99805,96965,92760,88256,81732,75273,72291,66714,67578,131836,132194,129407
"남구",96284,95426,95417,95868,95722,93295,92233,89574,88605,87879,87473,85996,83402,83255,82854,81316,78872,77480,74990,74859,74115,71808,71203,70960,71464,71889,72451,73715,73313,73853,74646,-,-,-
"북구",201323,202638,199280,198085,195695,191997,187015,184617,180682,178956,178735,176440,173165,170004,168485,174151,171900,171341,166876,162988,156593,153971,153072,151881,150761,149483,147852,145684,139277,136331,135877,130508,121677,115165
"광산구",173040,171934,171637,170776,169125,165888,160569,156713,153527,151034,148252,144796,141449,137331,133302,127578,118255,109390,106811,104379,101188,96238,92486,87236,82724,78511,76123,73511,69760,63094,53883,60153,56036,51722
"대전광역시",697348,687757,680261,673429,664417,652783,635343,624965,614639,606137,597008,592508,584877,575600,566324,555768,538100,531682,525880,518039,505650,492068,479916,463270,450489,439312,427152,417523,407987,391525,376879,363791,347223,326044
"동구",112685,110878,108996,108640,107832,105729,104064,102632,100677,100398,100635,101512,102263,101687,100745,98977,95415,94402,92949,89385,87089,86315,85466,83132,83508,84380,83631,83955,83278,82419,81368,83568,86454,88959
"중구",109777,108358,106885,107692,107609,107626,106379,105270,104509,103681,103285,103669,103705,102201,101819,100983,98373,97719,97389,95790,95008,92459,91695,88287,87719,86291,82709,82232,82451,80861,80727,82223,82541,84951
"서구",222186,217245,217305,216539,213592,209931,203754,199689,196016,192834,189068,187921,186185,183229,181948,179550,176293,174265,173262,172661,170967,168049,162624,157520,151368,146097,142287,138738,131385,122325,117108,106199,92790,75815
"유성구",171731,170225,166767,160305,155450,151292,145305,141533,137514,132464,126969,121857,115304,111553,106053,100821,93906,91153,88324,86092,78220,70752,65934,61488,55412,50576,48753,47724,46121,43200,37264,32503,27061,21068
"대덕구",80969,81051,80308,80253,79934,78205,75841,75841,75923,76760,77051,77549,77420,76930,75759,75437,74113,74143,73956,74111,74366,74493,74197,72843,72482,71968,69772,64874,64752,62720,60412,59298,58377,55251
"울산광역시",499304,495378,490690,486143,482650,476893,468659,461756,458547,455352,451688,442250,431595,422177,412561,405501,394364,389735,380865,373114,365197,356143,348058,338845,331502,322838,315410,311199,307000,-,-,-,-,-
"중구",94827,94851,94372,93055,93633,93212,93062,94102,95386,95673,95710,92545,89595,87944,86822,86214,83672,83837,83638,82140,81017,79104,77549,76287,74577,73391,71924,71985,72647,-,-,-,-,-
"남구",142905,141400,140162,139525,138512,137925,135311,134986,134372,134140,133669,132974,130945,128366,125766,124993,122451,121258,119429,118686,116954,114699,113311,111043,108144,103884,100111,98672,97398,-,-,-,-,-
"동구",68311,68113,67743,66282,66201,65815,65183,65791,66888,68548,68359,67951,67059,64656,61946,60471,60337,60581,61180,61287,59295,58354,57624,56598,55709,55437,55309,55391,58234,-,-,-,-,-
"북구",90118,89079,87865,87153,85815,83781,81144,75403,72416,69693,67469,65589,63554,62175,60882,58673,56158,54269,50573,47875,46673,43759,40607,37854,37005,36271,35759,35513,31925,-,-,-,-,-
"울주군",103143,101935,100548,100128,98489,96160,93959,91474,89485,87298,86481,83191,80442,79036,77145,75150,71746,69790,66045,63126,61258,60227,58967,57063,56067,53855,52307,49638,46796,-,-,-,-,-
"세종특별자치시",165220,163432,160835,159386,153649,144275,135408,123762,109490,94343,81806,62807,50045,46592,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"세종시",165220,163432,160835,159386,153649,144275,135408,123762,109490,94343,81806,62807,50045,46592,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"경기도",6121301,6058202,5978724,5913694,5841995,5676401,5468920,5306214,5131379,5003406,4885012,4786718,4712324,4639665,4579405,4527282,4359467,4284475,4183926,4068786,3910886,3748325,3592144,3394937,3191089,3052102,2944148,2844110,2779473,2635626,2490250,2344890,2188473,2042100
"수원시",541583,540719,537078,528482,517822,506950,498836,492939,483558,472194,463154,454072,439996,427790,416036,412253,406565,402462,399898,395615,377823,365667,359103,345411,322621,310856,297479,279121,261080,249055,239695,231475,223986,216528
"장안구",122406,122694,119900,118811,118432,115738,115180,116250,116486,115507,115182,114386,113369,109983,109762,111056,108897,105052,104960,104648,100085,98581,98278,115942,106080,101182,96814,87157,85686,80829,80219,78876,77444,-
"권선구",165474,164675,163796,161085,157041,154921,152733,152432,145514,140772,136299,131321,127545,126934,122511,116450,113803,114960,114269,110286,103920,98024,95852,109720,106730,103104,98573,94931,93379,89802,82577,80276,74680,-
"팔달구",97494,97877,98505,95950,91278,86362,84282,84558,87895,88317,87266,87728,87289,87214,88044,91067,90981,88646,89668,89194,86829,85212,81615,119749,109811,106570,102092,97033,82015,78424,76899,72323,71862,-
"영통구",156209,155473,154877,152636,151071,149929,146641,139699,133663,127598,124407,120637,111793,103659,95719,93680,92884,93804,91001,91487,86989,83850,83358,-,-,-,-,-,-,-,-,-,-,-
"성남시",409252,410242,409602,408195,409320,407912,400460,398412,396403,394087,390968,388340,387053,384316,384230,385050,375386,367675,370531,374006,374223,364388,348934,329107,316818,308168,304614,301007,301984,292671,278963,247404,222137,194006
"수정구",116200,116838,116390,113458,114620,115709,110333,108396,107823,104855,99425,100362,101505,102949,103707,105253,103663,105403,107493,107659,106553,104592,101133,96698,92331,89956,88906,87872,88652,86289,84873,84443,85037,-
"중원구",99667,100556,101034,100139,100328,101151,99940,99495,99438,101345,105314,104931,105339,103869,103566,104438,103371,105101,103998,104200,104062,103035,101860,98040,95382,93449,91775,91605,92987,91553,90001,88747,86035,-
"분당구",193385,192848,192178,194598,194372,191052,190187,190521,189142,187887,186229,183047,180209,177498,176957,175359,168352,157171,159040,162147,163608,156761,145941,134369,129105,124763,123933,121530,120345,114829,104089,74214,51065,-
"의정부시",212285,210264,209891,208352,205792,201630,190760,185319,179505,175948,172392,169671,167990,166349,166397,166333,162344,161573,156057,149577,144001,139638,137206,128286,120760,117697,111686,106280,99012,92852,89959,85694,80154,74433
"안양시",239981,235171,227627,227475,224620,220552,222589,222361,223172,225163,223779,223249,224441,224395,226420,229848,226022,226600,226595,225077,220167,214414,205981,198632,195066,190689,191239,192268,193949,192989,189240,187647,183640,167337
"만안구",105522,102955,101831,102550,103012,101305,100974,102157,101859,100104,97701,97200,97830,98459,102113,103642,100908,100675,100970,100615,98289,95531,94202,92581,88979,86408,84754,84795,85890,86343,85461,85432,87277,-
"동안구",134459,132216,125796,124925,121608,119247,121615,120204,121313,125059,126078,126049,126611,125936,124307,126206,125114,125925,125625,124462,121878,118883,111779,106051,106087,104281,106485,107473,108059,106646,103779,102215,96363,-
"부천시",342377,343433,344096,344135,347024,344495,340160,338759,335384,331797,327617,327462,328230,328511,328229,328766,322246,320321,316479,310807,302996,297934,290377,275000,259495,255598,253661,252989,255005,253082,247469,237661,226011,213799
"원미구",174552,174645,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"소사구",98761,99148,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"오정구",-,-,-,-,-,-,-,-,-,-,169862,168613,168075,167966,167061,167791,165203,162793,161983,159700,156297,154164,150524,141376,128449,127465,126351,125838,126685,125256,122142,113097,100774,-
"오정구",69064,69640,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"소사구",-,-,-,-,-,-,-,-,-,-,86289,87108,87818,87771,87891,86967,85184,85103,83084,82004,79277,77222,73569,68558,67266,65711,66116,66669,68024,68018,66759,66027,67356,-
"오정구",-,-,-,-,-,-,-,-,-,-,71466,71741,72337,72774,73277,74008,71859,72425,71412,69103,67422,66548,66284,65066,63780,62422,61194,60482,60296,59808,58568,58537,57881,-
"광명시",123100,115024,115114,118493,119817,120560,126001,128126,127168,127461,128208,129039,130401,131172,131770,128649,116989,115295,115216,114670,118614,118163,118474,116021,110685,109927,110295,111668,111324,112292,111629,111262,109777,108718
"평택시",292664,285297,279835,271362,262097,243838,226020,214409,204252,195970,189122,181801,177174,172891,169071,165745,158628,157018,153560,148995,141108,133244,128349,122294,120076,118218,115822,113296,112767,107478,101501,30001,28002,26991
"송탄출장소",0,0,0,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"안중출장소",0,0,0,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"송탄시",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32909,30781,28624
"동두천시",43565,43096,43366,43973,44369,43874,42999,42919,42420,42455,42094,41603,41327,40886,40202,39915,37832,36727,34671,32919,31261,29520,27495,26172,25884,25599,25014,24209,24046,23362,22851,22277,21758,20788
"안산시",287919,288070,288567,291091,292113,286061,277331,276662,278240,280524,281865,283527,283650,282006,281655,280919,273075,273025,269534,264603,253174,244608,236313,223529,205712,195972,188274,187296,187005,179797,170932,154932,136342,121309
"상록구",151687,151730,153212,156033,156527,153103,147231,149499,152176,152682,152730,152242,151579,150088,149472,148428,143973,144123,141644,138956,132156,127874,124899,118997,-,-,-,-,-,-,-,-,-,-
"단원구",136232,136340,135355,135058,135586,132958,130100,127163,126064,127842,129135,131285,132071,131918,132183,132491,129102,128902,127890,125647,121018,116734,111414,104532,-,-,-,-,-,-,-,-,-,-
"고양시",466150,466229,464380,461459,456852,448574,434028,417607,408816,401772,393093,382046,374396,365492,362719,360212,353270,353322,346029,337745,328375,315193,302237,284357,269400,261972,253831,246802,238424,215349,185184,139642,103279,86588
"덕양구",219055,221023,220682,216683,210486,203939,195766,185883,181875,178039,174272,166253,159948,154549,153342,154770,151548,150948,146689,146896,146979,142726,138651,133128,127425,124966,122683,121352,117358,103736,-,-,-,-
"일산구",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172467,163586,151229,141975,137006,131148,125450,121066,111613,-,-,-,-
"일산동구",132750,130000,127885,128567,128436,126569,122981,120658,117436,115258,111620,110182,109634,108231,106924,104091,100678,100066,97464,90376,83335,-,-,-,-,-,-,-,-,-,-,-,-,-
"일산서구",114345,115206,115813,116209,117930,118066,115281,111066,109505,108475,107201,105611,104814,102712,102453,101351,101044,102308,101876,100473,98061,-,-,-,-,-,-,-,-,-,-,-,-,-
"과천시",28738,30874,29194,28726,27262,23373,21467,21205,20903,23454,25030,25251,25233,25413,25832,26194,26203,25296,22669,21993,21681,24528,25008,24537,24398,24467,24598,24677,24802,24522,24205,24112,24124,24124
"구리시",81784,81288,80450,80424,80616,81520,79870,79735,77306,74499,71602,71639,72581,73415,74473,75163,73642,73443,72940,71001,69180,68001,66653,65202,61002,55933,54993,54676,55686,51696,47534,45162,41312,40308
"미금시",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23459,23431,23103
